OBJECTID,sgmnt_d,routes,n_routs,RapidRd,ftrLINK,street,TOTAL,active,ptile,int_ctg,FTV,Shp_Lng,FTV_pdt,Shape__Length
1,2361,18,1,none,0,28th Ave NW,0,1,0.00457785422779, , ,4364.56749748,Other Transit,4364.56749748257
2,3003,15,1,none,0,14th Ave NW,0,1,0.00577128874894, , ,665.846054789,Other Transit,665.846054788908
3,1263,15,1,none,0,15th Ave NW,2,1,0.00880644210816, , ,4405.46884081,Other Transit,4405.468840795
4,1325,18,1,none,0,24th Ave NW,2,1,0.0116050883406, , ,4364.87359799,Other Transit,4364.87359799446
5,1349,17,1,none,0,32nd Ave NW,2,1,0.015061537009, , ,5390.80694105,Other Transit,5390.80694105342
6,2089,"56, 57",2,none,0,SW Admiral Way,2,1,0.0187810458305, , ,5801.08541915,Other Transit,5801.08541915662
7,2190,17,1,none,0,32nd Ave NW,2,1,0.0204740315954, , ,2640.44407651,Other Transit,2640.44407651065
8,2219,57,1,none,0,49th Ave SW,2,1,0.0247523484577, , ,6672.62339194,Other Transit,6672.623391942
9,3158,"56, 57",2,none,0,W Seattle Fwy,2,1,0.0254436150131, , ,1078.1252384,Other Transit,1078.12523839344
10,4568,"56, 57",2,none,0, ,2,1,0.0262243962353, , ,1217.73566917,Other Transit,1217.73566915821
11,1527,55,1,none,0,California Ave SW,3,1,0.0304553456937, , ,465.48228534,Other Transit,465.482285340243
12,1706,27,1,none,0,Lakeside Ave S,3,1,0.0338243829567, , ,5254.47683575,Other Transit,5254.47683575956
13,1866,45,1,none,0, ,3,1,0.0345986458701, , ,360.558116139,Other Transit,360.558116138722
14,1867,45,1,none,0, ,3,1,0.035201484334, , ,940.209471353,Other Transit,940.209471353122
15,2006,27,1,none,0,Lakeside Ave S,3,1,0.0358122658533, , ,952.597758493,Other Transit,952.597758490749
16,2139,33,1,none,0, ,3,1,0.0362011422366, ,Frequent,606.506188069,Frequent: 15,606.506188069228
17,2145,33,1,none,0,W Government Way,3,1,0.0366953681085, , ,770.813200614,Other Transit,770.813200599849
18,2204,33,1,none,0,Texas Way,3,1,0.0392762073552, , ,3648.801526,Other Transit,3648.80152600283
19,2362,57,1,none,0,SW Genesee St,3,1,0.042314148965, , ,4408.04165104,Other Transit,4408.04165103834
20,2369,28,1,none,0,3rd Ave NW,3,1,0.0444340941665, , ,3306.3460225,Other Transit,3306.34602249558
21,2382,2,1,none,0,Madrona Dr,3,1,0.0475343664622, ,Frequent,2513.64546299,Frequent: 15,2513.64546298991
22,2429,304,1,none,0,NE 145th St,3,1,0.047888368785, ,Frequent,552.115295779,Frequent: 10,552.115295778519
23,2431,304,1,none,0,State Rte 523,3,1,0.048385862898, ,Frequent,775.910471948,Frequent: 10,775.910471948377
24,1358,21,1,none,0,35th Ave SW,5,1,0.0512744152482, , ,2024.87490098,Other Transit,2024.87490097642
25,1393,11,1,none,0,42nd Ave E,5,1,0.0527934248748, ,Frequent,2369.10436813,Frequent: 15,2369.10436812341
26,1395,"21, 22",2,none,0,Marine View Dr SW,5,1,0.0563945584496, , ,5616.46294603,Other Transit,5616.46294603136
27,1465,28,1,none,0,8th Ave NW,5,1,0.0595080825306, ,Frequent,4060.50481293,Frequent: 15,4060.50481291582
28,1537,31,1,none,0,Condon Way W,5,1,0.0606888203001, ,Frequent,1133.6173013,Frequent: 15,1133.61730129912
29,1566,11,1,none,0,E Madison St,5,1,0.0610247139045, ,Frequent,523.872259534,Frequent: 15,523.872259544508
30,1568,11,1,none,0,E Madison St,5,1,0.064411919196, ,Frequent,5282.81237424,Frequent: 15,5282.81237423712
31,1869,"18, 45",2,none,0, ,5,1,0.0652749567365, , ,1346.02570733,Other Transit,1346.02570732809
32,2044,75,1,none,0,Sand Point Way NE,5,1,0.0714552586733, ,Frequent,9639.03062794,Frequent: 15,9639.03062794578
33,2090,"50, 56",2,none,0,SW Admiral Way,5,1,0.0718685532321, ,Frequent,644.589690267,Frequent: 15,644.589690252475
34,2146,"24, 33",2,none,0,W Government Way,5,1,0.0725846498154, , ,727.889889803,Other Transit,727.88988980258
35,2158,24,1,none,0,W Viewmont Way W,5,1,0.0774554184463, , ,6984.91122932,Other Transit,6984.91122931744
36,2296,C Line,1,Existing,0,Fauntleroy Way SW,5,1,0.0804115427759, ,Very Frequent,4610.48234294,Frequent: 10,4610.48234294012
37,2341,28,1,none,0,3rd Ave NW,5,1,0.0841887067051, , ,5891.00648686,Other Transit,5891.00648685579
38,2354,125,1,none,0,16th Ave SW,5,1,0.0885039150488, , ,6730.16072938,Other Transit,6730.16072937804
39,2413,28,1,none,0,N 145th St,5,1,0.0893493862598, , ,1318.62860115,Other Transit,1318.62860116783
40,2445,304,1,none,0,State Rte 523,5,1,0.090200843121, ,Frequent,1327.96404574,Frequent: 10,1327.96404574357
41,2796,C Line,1,Existing,0,SW Spokane St,5,1,0.0920654916149, ,Very Frequent,2116.14216556,Frequent: 10 Plus,2116.14216554937
42,3042,31,1,none,0,Condon Way W,5,1,0.092574121627, ,Frequent,793.278437626,Frequent: 15,793.278437625965
43,3119,24,1,none,0,W Viewmont Way W,5,1,0.0932380902849, , ,765.464057484,Other Transit,765.464057484426
44,3161,C Line,1,Existing,0,West Seattle Bridge Ramp,5,1,0.093711081551, ,Very Frequent,737.694913187,Frequent: 10 Plus,737.694913172632
45,4382,C Line,1,Existing,0,Fauntleroy Way SW,5,1,0.0948588782115, ,Very Frequent,1790.14670779,Frequent: 10,1790.14670779287
46,4393,31,1,none,0,W McGraw St,5,1,0.0952798064487, ,Frequent,656.495461136,Frequent: 15,656.495461135549
47,4394,31,1,none,0,W McGraw St,5,1,0.09549311024, ,Frequent,332.67659074,Frequent: 15,332.676590740006
48,4396,"24, 33",2,none,0,28th Ave W,5,1,0.095682325985, ,Frequent,295.107970431,Frequent: 15,295.107970446174
49,1319,372,1,none,0,25th Ave NE,7,1,0.0967982245879, ,Frequent,1740.39730106,Frequent: 10,1740.39730106432
50,1326,24,1,none,0,28th Ave W,7,1,0.103280626627, , ,10110.1972746,Other Transit,10110.1972746402
51,1328,"24, 31, 33",3,none,0,28th Ave W,7,1,0.103489011802, ,Frequent,325.005332001,Frequent: 15,325.005332000818
52,1352,"24, 31",2,none,0,34th Ave W,7,1,0.108108441491, , ,7204.63574635,Other Transit,7204.63574634728
53,1357,"64, 65",2,none,0,35th Ave NE,7,1,0.108277619735, ,Frequent,263.856732797,Frequent: 15,263.856732797383
54,1360,"21, 22",2,none,0,35th Ave SW,7,1,0.109161637008, , ,1378.74648438,Other Transit,1378.74648438277
55,1420,79,1,none,0,50th Ave NE,7,1,0.111120837634, , ,3055.64275644,Other Transit,3055.64275643612
56,1468,28,1,none,0,8th Ave NW,7,1,0.11729880935, ,Frequent,5350.05475406,Frequent: 15,5350.05475405836
57,1529,"128, 55",2,none,0,California Ave SW,7,1,0.119199833738, , ,2964.9089143,Other Transit,2964.90891429825
58,1546,120,1,Funded,1,W Seattle Fwy,7,1,0.11997262946, ,High-Capacity,1205.28118294,Frequent: 10 Plus,1205.28118293952
59,1633,33,1,none,0,Gilman Ave W,7,1,0.122587992746, , ,4079.01864212,Other Transit,4079.01864212396
60,1700,"322, 522",2,none,0,Lake City Way NE,7,1,0.125030896085,Frequent,Very Frequent,3810.04364285,Frequent: 10,3810.04364284604
61,1723,2,1,none,0,34th Ave,7,1,0.126852065877,Frequent,Frequent,2840.36469281,Frequent: 15,2840.36469280462
62,1751,14,1,none,0,Mount Rainier Dr S,7,1,0.127313930532,Frequent, ,720.341433137,Other Transit,720.341433137343
63,1769,20,1,none,0,N 80th St,7,1,0.128588924176,Frequent,Frequent,1988.52789181,Other Transit,1988.52789181365
